AU 79  196.967 706
 6195.66  75.4744  11.7707
 6295.87  75.4861  11.474
 6397.7  75.4922  11.1847
 6501.18  75.4923  10.9013
 6606.33  75.486  10.625
 6713.18  75.4735  10.3546
 6821.76  75.4558  10.0911
 6932.1  75.4327  9.83345
 7044.22  75.4044  9.5823
 7158.15  75.3708  9.33656
 7273.93  75.3323  9.09708
 7391.58  75.2889  8.86356
 7511.13  75.2411  8.63596
 7632.62  75.1884  8.41342
 7756.07  75.1309  8.19661
 7881.52  75.0688  7.98532
 8009  75.0019  7.77944
 8138.54  74.9303  7.57873
 8270.17  74.8539  7.38316
 8403.93  74.7724  7.19237
 8539.86  74.6855  7.00652
 8677.99  74.5929  6.82554
 8818.35  74.4944  6.64926
 8960.98  74.3896  6.47785
 9105.91  74.2781  6.31086
 9253.19  74.1592  6.14827
 9402.86  74.0321  5.98988
 9554.94  73.8956  5.83566
 9709.48  73.7487  5.68548
 9866.53  73.5897  5.53944
 10026.1  73.4166  5.39725
 10188.3  73.2268  5.25911
 10353.1  73.017  5.12467
 10520.5  72.7827  4.99433
 10690.7  72.5173  4.8673
 10863.6  72.2104  4.74345
 11039.3  71.8462  4.62305
 11217.8  71.3983  4.50609
 11399.3  70.8145  4.39238
 11583.7  69.9708  4.28184
 11771  68.4114  4.17438
 11919.6  54.2618  4.09225
 11919.8  54.2623  10.2067
 11961.4  66.0462  10.1456
 12154.9  69.4377  9.86933
 12351.5  70.5678  9.60054
 12551.2  71.2006  9.33908
 12754.2  71.5803  9.08474
 12960.5  71.7808  8.83733
 13170.2  71.8135  8.59667
 13383.2  71.6296  8.36256
 13599.6  70.9727  8.13483
 13734.1  66.1706  7.99825
 13734.3  66.1692  11.1562
 13819.6  70.2036  11.0416
 14043.1  71.0421  10.7502
 14270.3  71.8721  10.4665
 14355.2  72.393  10.3635
 14355.4  72.3956  11.9115
 14501.1  73.1761  11.7365
 14735.6  73.9335  11.4636
 14974  74.4994  11.1953
 15216.1  74.9619  10.9315
 15462.3  75.354  10.6722
 15712.3  75.6941  10.4175
 15966.5  75.9935  10.1675
 16224.7  76.2597  9.92199
 16487.1  76.4982  9.68114
 16753.8  76.713  9.44489
 17024.8  76.9072  9.21324
 17300.2  77.0834  8.98617
 17580  77.2436  8.76366
 17864.3  77.3895  8.54567
 18153.3  77.5224  8.33218
 18446.9  77.6437  8.12315
 18745.2  77.7542  7.91854
 19048.4  77.8551  7.71831
 19356.5  77.947  7.52241
 19669.6  78.0307  7.33079
 19987.7  78.1068  7.1434
 20311  78.1759  6.96019
 20639.5  78.2385  6.7811
 20973.4  78.295  6.60607
 21312.6  78.346  6.43505
 21657.3  78.3918  6.26797
 22007.6  78.4327  6.10477
 22363.5  78.4691  5.94539
 22725.3  78.5012  5.78977
 23092.8  78.5294  5.63785
 23466.3  78.554  5.48955
 23845.9  78.5751  5.34482
 24231.6  78.593  5.20359
 24623.5  78.6079  5.06579
 25021.8  78.62  4.93136
 25426.5  78.6294  4.80024
 25837.7  78.6364  4.67236
 26255.6  78.6411  4.54765
 26680.3  78.6436  4.42606
 27111.8  78.6442  4.30751
 27550.3  78.6428  4.19195
 27995.9  78.6397  4.07931
 28448.7  78.635  3.96953
 28908.9  78.6287  3.86255
 29376.5  78.6209  3.7583
 29851.6  78.6119  3.65674
 30000.0  78.6088  3.62588
